id,name,logo_url,transparency_grade,coverage_type,order_books,first_trade,first_candle,first_order_book,num_pairs,num_pairs_unmapped,last_updated,fiat_currencies,rank,weight,centralized,decentralized,1d.volume,1d.volume_change,1d.volume_change_pct,1d.trades,1d.trades_change,1d.trades_change_pct,1d.spot_volume,1d.spot_volume_change,1d.spot_volume_change_pct,1d.derivative_volume,1d.derivative_volume_change,1d.derivative_volume_change_pct,location,website_url
currency,Currency.com,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/currency.svg,A+,trades,true,2020-03-13T00:00:00Z,2020-03-13T00:00:00Z,2019-04-18T00:00:00Z,476,149,2022-01-19T23:59:58.373Z,BYN;EUR;GBP;HKD;RUB;USD,59,0.4909,true,false,2954186.83,-2109190.41,-0.4166,4902,-1374,-0.2189,2954186.83,-2109190.41,-0.4166,,,,Belarus,https://currency.com/
pancakeswap,PancakeSwap V1,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/pancakeswap.jpg,A,trades,true,2020-09-18T00:00:00Z,2020-09-18T00:00:00Z,2021-10-27T00:00:00Z,5497,115221,2022-01-20T00:00:09Z,,60,0.6015,false,true,2589297.18,-608540.42,-0.1903,15373,-1713,-0.1003,2589297.18,-608540.42,-0.1903,,,,Japan,https://pancakeswap.finance
ubeswap,Ubeswap,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/ubeswap.png,A,trades,true,2021-02-23T00:00:00Z,2021-02-23T00:00:00Z,2021-10-27T00:00:00Z,117,406,2022-01-20T00:02:22Z,,61,0.2830,false,true,2481131.41,154136.02,0.0662,13125,-150,-0.0113,2481131.41,154136.02,0.0662,,,,,https://ubeswap.org
apeswap_polygon,ApeSwap (Polygon),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/apeswap.jpg,A,trades,true,2021-06-03T00:00:00Z,2021-06-03T00:00:00Z,2021-10-27T00:00:00Z,224,513,2022-01-20T00:01:34Z,,62,0.4776,false,true,2417878.53,-908319.78,-0.2731,6302,-696,-0.0995,2417878.53,-908319.78,-0.2731,,,,,https://apeswap.finance
farhad,FarhadMarket,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/farhad.png,A+,trades,true,2019-06-03T00:00:00Z,2019-06-03T00:00:00Z,2020-01-14T00:00:00Z,30,0,2022-01-20T00:02:08.257515Z,IRR;TRY,63,0.1920,true,false,1921587.13,-80330.88,-0.0401,51988,-1510,-0.0282,1921587.13,-80330.88,-0.0401,,,,Iran,https://app.farhadmarket.com/
binance_dex,Binance DEX,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/binance_dex.png,A,trades,true,2019-04-25T00:00:00Z,2019-04-25T00:00:00Z,2019-07-26T00:00:00Z,164,0,2022-01-20T00:01:38.556Z,,64,0.5221,false,true,1560977.89,-288284.17,-0.1559,7581,-1322,-0.1485,1560977.89,-288284.17,-0.1559,,,,Malta,https://www.binance.org/
redot,Redot,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/redot.png,A+,trades,true,2020-05-07T00:00:00Z,2020-05-07T00:00:00Z,2020-09-23T00:00:00Z,10,2,2022-01-20T00:01:20.276Z,,65,0.2536,true,false,1481363.09,-72072.23,-0.0464,11423,-469,-0.0394,1481363.09,-72072.23,-0.0464,,,,Estonia,https://redot.com/
cherryswap,CherrySwap,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/cherryswap.png,A,trades,true,2021-07-27T00:00:00Z,2021-07-27T00:00:00Z,2021-10-27T00:00:00Z,155,2195,2022-01-20T00:01:10Z,,66,0.3165,false,true,1015475.99,-650292.75,-0.3904,8158,-2473,-0.2326,1015475.99,-650292.75,-0.3904,,,,,https://www.cherryswap.net/
therocktrading,The Rock Trading,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/therocktrading.png,A,trades,true,2011-11-09T00:00:00Z,2011-11-09T00:00:00Z,2020-04-04T00:00:00Z,25,1,2022-01-19T23:58:42.714Z,EUR;GBP,67,0.4107,true,false,989404.79,-373333.24,-0.2740,3037,-1118,-0.2691,989404.79,-373333.24,-0.2740,,,,Italy,https://therocktrading.com/
dfx_polygon,DFX (Polygon),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/dfx.jpg,A,trades,false,2021-07-21T00:00:00Z,2021-07-21T00:00:00Z,,5,0,2022-01-19T23:54:16Z,,68,0.2159,false,true,711690.81,416128.39,1.4079,101,-11,-0.0982,711690.81,416128.39,1.4079,,,,,https://dfx.finance
mimo,Mimo,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/mimo.jpg,A,trades,true,2021-06-22T00:00:00Z,2021-06-22T00:00:00Z,2021-10-27T00:00:00Z,57,330,2022-01-20T00:00:10Z,,69,0.1465,false,true,622218.38,-402045.41,-0.3925,4604,-2160,-0.3193,622218.38,-402045.41,-0.3925,,,,,https://mimo.finance
1inchv2,1inch V2 (Ethereum),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/1inchv2.jpg,A,trades,false,2021-01-07T00:00:00Z,2021-01-07T00:00:00Z,,233,27,2022-01-19T23:54:31Z,,70,0.4441,false,true,495382.29,50887.53,0.1145,88,19,0.2754,495382.29,50887.53,0.1145,,,,,https://1inch.io
kaidex,KaiDex,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/kaidex.svg,A,trades,true,2021-05-20T00:00:00Z,2021-05-20T00:00:00Z,2021-11-02T00:00:00Z,17,33,2022-01-20T00:01:39Z,,71,0.1973,false,true,472708.03,236343.33,0.9999,3137,390,0.1420,472708.03,236343.33,0.9999,,,,,https://kaidex.io
sushiswap_fantom,SushiSwap (Fantom),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/sushiswap.jpg,A,trades,true,2021-02-26T00:00:00Z,2021-02-26T00:00:00Z,2021-10-27T00:00:00Z,52,983,2022-01-20T00:01:42Z,,72,0.4558,false,true,414118.98,-58235.45,-0.1233,1018,-16,-0.0155,414118.98,-58235.45,-0.1233,,,,,https://sushi.com
dfx,DFX (Ethereum),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/dfx.jpg,A,trades,false,2021-05-19T00:00:00Z,2021-05-19T00:00:00Z,,6,0,2022-01-19T13:18:24Z,,73,0.2050,false,true,360327.13,160956.87,0.8073,3,2,2.0000,360327.13,160956.87,0.8073,,,,,https://dfx.finance
sigen,SIGEN.pro,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/sigen.jpg,A+,trades,true,2017-11-08T00:00:00Z,2017-11-08T00:00:00Z,2020-08-03T00:00:00Z,150,63,2022-01-19T23:48:57Z,AMD;AUD;AZN;BRL;BYN;CNY;EUR;GHS;IDR;KGS;KZT;MDL;MYR;NZD;PLN;RUB;TJS;UAH;UGX;USD;VND;ZAR;ZWL,74,0.2454,true,false,350380.67,5350.63,0.0155,3585,-1614,-0.3104,350380.67,5350.63,0.0155,,,,United Kingdom,https://sigen.pro
sushiswap_xdai,SushiSwap (xDai),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/sushiswap.jpg,A,trades,true,2021-03-03T00:00:00Z,2021-03-03T00:00:00Z,2021-10-27T00:00:00Z,33,299,2022-01-19T23:54:30Z,,75,0.4493,false,true,344192.00,-34765.24,-0.0917,2437,577,0.3102,344192.00,-34765.24,-0.0917,,,,,https://sushi.com
honeyswap,Honeyswap (xDai),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/honeyswap.png,A,trades,true,2020-09-03T00:00:00Z,2020-09-03T00:00:00Z,2021-10-27T00:00:00Z,111,1798,2022-01-20T00:00:10Z,,76,0.3211,false,true,221507.19,117195.24,1.1235,4614,1510,0.4865,221507.19,117195.24,1.1235,,,,,https://honeyswap.org/
jetswap_polygon,JetSwap (Polygon),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/jetswap.jpg,A,trades,true,2021-07-06T00:00:00Z,2021-07-06T00:00:00Z,2021-10-27T00:00:00Z,79,215,2022-01-20T00:01:42Z,,77,0.2815,false,true,219906.85,16238.95,0.0797,6016,597,0.1102,219906.85,16238.95,0.0797,,,,,https://polygon.jetswap.finance
sushiswap_bsc,SushiSwap (BSC),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/sushiswap.jpg,A,trades,true,2021-02-26T00:00:00Z,2021-02-26T00:00:00Z,2021-10-27T00:00:00Z,469,767,2022-01-19T23:59:06Z,,78,0.4276,false,true,185931.08,-58104.37,-0.2381,1210,-290,-0.1933,185931.08,-58104.37,-0.2381,,,,,https://sushi.com
